train_regime,test_regime,variant,event,rmse,mae,n
2010,2011,control,hss_event,92.34846612884704,72.38123112400481,1835
2010,2011,control,non_event,82.59844661760496,64.14162251716917,6925
2010,2011,treatment,hss_event,100.76804843701264,77.76955556427751,1835
2010,2011,treatment,non_event,80.81939666126137,61.59226525922975,6925
2010,2012,control,hss_event,75.82309300199348,55.98261342729841,1568
2010,2012,control,non_event,88.39630593611594,70.97995221799863,7216
2010,2012,treatment,hss_event,82.8320292253888,60.78880726561255,1568
2010,2012,treatment,non_event,85.01302561318757,66.08203290782852,7216
2010,2013,control,hss_event,81.47813289111252,62.020834915843885,1922
2010,2013,control,non_event,89.2666802551464,75.9678454771361,6725
2010,2013,treatment,hss_event,86.75414589229369,65.89387577306964,1922
2010,2013,treatment,non_event,85.50729146105095,70.932088033116,6725
2010,2014,control,hss_event,87.8845694770062,58.98842282565135,2120
2010,2014,control,non_event,76.56536699636042,63.490393737425286,6640
2010,2014,treatment,hss_event,87.40170802717931,58.73018276286575,2120
2010,2014,treatment,non_event,74.19340635874973,60.91924944498453,6640
2010,2015,control,hss_event,104.02115344201539,81.51867125600512,1836
2010,2015,control,non_event,85.86158145336118,69.1607595054763,6924
2010,2015,treatment,hss_event,106.12646667324218,84.22088799237686,1836
2010,2015,treatment,non_event,82.98609163198621,65.44573112060264,6924
2010,2016,control,hss_event,90.60008527203347,71.06554654955424,3252
2010,2016,control,non_event,77.36461846023369,61.642260956724314,5377
2010,2016,treatment,hss_event,91.99554796110142,73.0454643409044,3252
2010,2016,treatment,non_event,74.3352854774615,57.656109807569784,5377
2010,2017,control,hss_event,89.21717458971818,70.8252440151559,3843
2010,2017,control,non_event,78.47117834173706,65.41702395259352,4917
2010,2017,treatment,hss_event,88.51018311827464,70.44512478076261,3843
2010,2017,treatment,non_event,75.29432867612253,59.1326412366177,4917
2010,2018,control,hss_event,70.79351340724686,55.22907841194596,3251
2010,2018,control,non_event,68.98955236032053,59.66350047024436,5509
2010,2018,treatment,hss_event,74.39056190303505,58.00213651208282,3251
2010,2018,treatment,non_event,59.284877163280385,47.065485498826845,5509
2010,2019,control,hss_event,63.57753334205693,48.52609086434556,3116
2010,2019,control,non_event,63.43892742800534,55.30174108839137,5644
2010,2019,treatment,hss_event,66.69295110582931,52.407096108667965,3116
2010,2019,treatment,non_event,48.95859147363336,39.15329052487812,5644
2010,2020,control,hss_event,79.43293892567783,57.66018100608739,2998
2010,2020,control,non_event,89.35853206581048,82.55824727052807,5786
2010,2020,treatment,hss_event,82.306958185979,59.54324283816164,2998
2010,2020,treatment,non_event,78.41512242526017,71.46744749119979,5786
2011,2010,control,hss_event,105.88676711670885,84.00311853543134,1775
2011,2010,control,non_event,84.58467013502073,74.98118654413969,3361
2011,2010,treatment,hss_event,105.63475816685396,83.47042409977443,1775
2011,2010,treatment,non_event,87.44723203136682,77.95664199425046,3361
2011,2012,control,hss_event,76.15302903060017,59.5150095881248,1568
2011,2012,control,non_event,82.2775836433352,63.62464588444407,7216
2011,2012,treatment,hss_event,75.82862844715332,59.39607207629145,1568
2011,2012,treatment,non_event,83.0242230356352,64.30609201486253,7216
2011,2013,control,hss_event,73.60218362899292,58.4454303467559,1922
2011,2013,control,non_event,84.17957937448992,70.11789382424053,6725
2011,2013,treatment,hss_event,72.946163306347,57.753568635398715,1922
2011,2013,treatment,non_event,84.56997950537993,70.50979624241258,6725
2011,2014,control,hss_event,78.72314705630713,54.29989550608509,2120
2011,2014,control,non_event,78.00215246607789,62.561916746576145,6640
2011,2014,treatment,hss_event,79.02239751295367,53.7402381609071,2120
2011,2014,treatment,non_event,77.64398774734705,63.084813147855094,6640
2011,2015,control,hss_event,106.35665304104455,85.40128800136591,1836
2011,2015,control,non_event,83.65297654745503,66.73135667753523,6924
2011,2015,treatment,hss_event,105.26760104452822,85.6373339384989,1836
2011,2015,treatment,non_event,83.5567646875564,66.98021303085424,6924
2011,2016,control,hss_event,106.82796258585273,83.16210606236007,3252
2011,2016,control,non_event,77.51452983611499,63.74096798307062,5377
2011,2016,treatment,hss_event,104.81104699511195,81.23824428544273,3252
2011,2016,treatment,non_event,76.8473117616001,63.12979734965987,5377
2011,2017,control,hss_event,127.94527888818101,104.13164842473074,3843
2011,2017,control,non_event,77.10210292825016,59.78299889245459,4917
2011,2017,treatment,hss_event,124.93187000146565,102.10540305342862,3843
2011,2017,treatment,non_event,76.00756485312377,58.311447326647745,4917
2011,2018,control,hss_event,80.44561185401977,63.67554629938084,3251
2011,2018,control,non_event,60.161296861964296,49.76681708008522,5509
